Date,Post-implant day,Block number,Number of sentences,Corpus,Split
2023-08-11,25,2,20,50-Word,Train
2023-08-11,25,3,30,50-Word,Train
2023-08-11,25,4,40,50-Word,Train
2023-08-11,25,5,50,50-Word,Train
2023-08-11,25,6,50,50-Word,Train
2023-08-11,25,8,50,50-Word,Train
2023-08-11,25,9,50,50-Word,Train
2023-08-13,27,1,50,Switchboard,Train
2023-08-13,27,2,50,Switchboard,Train
2023-08-13,27,3,40,Switchboard,Train
2023-08-13,27,4,40,Switchboard,Train
2023-08-13,27,5,40,Switchboard,Train
2023-08-13,27,6,40,Switchboard,Train
2023-08-13,27,7,40,50-Word,Train
2023-08-13,27,8,40,Switchboard,Val/Test
2023-08-13,27,9,30,Switchboard,Val/Test
2023-08-13,27,11,40,50-Word,Train
2023-08-13,27,12,30,Switchboard,Train
2023-08-18,32,4,49,Switchboard,Train
2023-08-18,32,5,48,Switchboard,Train
2023-08-18,32,6,49,Switchboard,Val/Test
2023-08-18,32,7,50,Switchboard,Val/Test
2023-08-18,32,8,50,Switchboard,Train
2023-08-18,32,9,50,Switchboard,Train
2023-08-20,34,1,50,Switchboard,Train
2023-08-20,34,2,49,Switchboard,Train
2023-08-20,34,3,30,Switchboard,Train
2023-08-20,34,4,49,Switchboard,Train
2023-08-20,34,5,50,Switchboard,Train
2023-08-20,34,6,50,Switchboard,Train
2023-08-20,34,7,49,Switchboard,Val/Test
2023-08-20,34,8,48,Switchboard,Val/Test
2023-08-25,39,1,50,Switchboard,Val/Test
2023-08-25,39,2,50,Switchboard,Train
2023-08-25,39,7,39,Switchboard,Train
2023-08-27,41,1,50,Switchboard,Val/Test
2023-08-27,41,2,50,Switchboard,Train
2023-08-27,41,3,50,Switchboard,Train
2023-08-27,41,5,50,Switchboard,Train
2023-09-01,46,1,47,Switchboard,Train
2023-09-01,46,2,50,Switchboard,Train
2023-09-01,46,3,50,Switchboard,Train
2023-09-01,46,4,50,Switchboard,Train
2023-09-01,46,5,50,Switchboard,Train
2023-09-01,46,6,50,Switchboard,Train
2023-09-01,46,8,49,Switchboard,Val/Test
2023-09-01,46,9,50,Switchboard,Val/Test
2023-09-03,48,1,50,Switchboard,Train
2023-09-03,48,2,50,Switchboard,Train
2023-09-03,48,3,50,Switchboard,Train
2023-09-03,48,4,25,Switchboard,Train
2023-09-03,48,5,50,Switchboard,Train
2023-09-03,48,6,48,Switchboard,Train
2023-09-03,48,7,49,Switchboard,Train
2023-09-03,48,8,50,Switchboard,Val/Test
2023-09-03,48,9,19,Switchboard,Val/Test
2023-09-24,69,1,50,Switchboard,Train
2023-09-24,69,2,49,Switchboard,Train
2023-09-24,69,3,20,Switchboard,Train
2023-09-24,69,4,45,Switchboard,Train
2023-09-24,69,5,20,Switchboard,Train
2023-09-24,69,6,11,50-Word,Train
2023-09-24,69,7,50,Switchboard,Train
2023-09-24,69,8,20,Switchboard,Val/Test
2023-09-24,69,9,50,Switchboard,Val/Test
2023-09-29,74,1,5,Switchboard,Train
2023-09-29,74,2,50,Switchboard,Train
2023-09-29,74,3,50,Switchboard,Val/Test
2023-09-29,74,4,47,Openwebtext,Val/Test
2023-09-29,74,5,5,Switchboard,Train
2023-09-29,74,6,20,Switchboard,Train
2023-09-29,74,7,49,Switchboard,Train
2023-09-29,74,9,35,Switchboard,Train
2023-10-01,76,1,10,Switchboard,Train
2023-10-01,76,2,49,Switchboard,Train
2023-10-01,76,3,50,Switchboard,Train
2023-10-01,76,4,50,Switchboard,Train
2023-10-01,76,5,50,Switchboard,Train
2023-10-01,76,6,49,Switchboard,Train
2023-10-01,76,7,49,Switchboard,Val/Test
2023-10-01,76,8,40,Openwebtext,Val/Test
2023-10-06,81,1,50,Switchboard,Train
2023-10-06,81,2,50,Switchboard,Train
2023-10-06,81,3,10,50-Word,Train
2023-10-06,81,4,50,Switchboard,Train
2023-10-06,81,5,16,Switchboard,Train
2023-10-06,81,6,30,Switchboard,Val/Test
2023-10-06,81,7,43,Switchboard,Val/Test
2023-10-08,83,1,50,Switchboard,Train
2023-10-08,83,2,49,Switchboard,Train
2023-10-08,83,3,20,Switchboard,Train
2023-10-08,83,6,50,Switchboard,Train
2023-10-08,83,7,50,Switchboard,Train
2023-10-08,83,8,50,Switchboard,Train
2023-10-08,83,10,15,Switchboard,Train
2023-10-08,83,11,30,Openwebtext,Val/Test
2023-10-08,83,12,15,Openwebtext,Val/Test
2023-10-13,88,1,50,Switchboard,Train
2023-10-13,88,2,40,Switchboard,Train
2023-10-13,88,3,15,Switchboard,Train
2023-10-13,88,4,50,Switchboard,Train
2023-10-13,88,5,49,Switchboard,Val/Test
2023-10-13,88,6,40,Random,Val/Test
2023-10-15,90,1,49,Switchboard,Train
2023-10-15,90,2,50,Switchboard,Train
2023-10-15,90,5,50,Switchboard,Train
2023-10-15,90,6,40,Switchboard,Train
2023-10-15,90,8,50,Switchboard,Train
2023-10-15,90,9,49,Switchboard,Val/Test
2023-10-15,90,10,40,Openwebtext,Val/Test
2023-10-20,95,1,48,Switchboard,Train
2023-10-20,95,2,50,Switchboard,Train
2023-10-20,95,3,18,Harvard,Val/Test
2023-10-22,97,1,16,Switchboard,Train
2023-10-22,97,2,50,Switchboard,Train
2023-10-22,97,4,49,Freq words,Train
2023-10-22,97,5,30,Harvard,Val/Test
2023-10-22,97,6,14,Freq words,Train
2023-10-22,97,7,50,Freq words,Train
2023-10-22,97,9,50,Switchboard,Val/Test
2023-11-03,109,1,50,Freq words,Train
2023-11-03,109,3,50,Freq words,Train
2023-11-03,109,4,49,Freq words,Train
2023-11-03,109,5,50,Harvard,Val/Test
2023-11-03,109,6,50,Switchboard,Val/Test
2023-11-04,110,1,50,Freq words,Train
2023-11-04,110,2,30,Freq words,Train
2023-11-04,110,4,30,Freq words,Val/Test
2023-11-17,123,1,50,Freq words,Train
2023-11-17,123,2,50,Freq words,Train
